RIASEC_Dimension,Self_Concept_Dimension,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Primary_r,Primary_p,Method,Effect_Size,Significance,N
Realistic,Health_Sex_Appropriateness,0.022491216083990857,0.9446878376580199,0.3129408756817327,0.3219744853015374,0.3129408756817327,0.3219744853015374,Spearman,Medium,,12
Realistic,Abilities,0.5435546008066989,0.06775722521595733,0.5950432367330578,0.04124770145657595,0.5435546008066989,0.06775722521595733,Pearson,Large,,12
Realistic,Self_Confidence,0.3947923553730539,0.20406121181201395,0.43169470521840225,0.16111645528405727,0.3947923553730539,0.20406121181201395,Pearson,Medium,,12
Realistic,Self_Acceptance,-0.252273052304003,0.4289254206295893,-0.30091311254031666,0.34189947050137126,-0.252273052304003,0.4289254206295893,Pearson,Small,,12
Realistic,Worthiness,-0.038525706426471004,0.905378019080775,0.030523056784778006,0.9249778957094867,-0.038525706426471004,0.905378019080775,Pearson,Negligible,,12
Realistic,Present_Past_Future,0.20515105781286888,0.5224151889220398,0.26449448970382894,0.40611260018082107,0.20515105781286888,0.5224151889220398,Pearson,Small,,12
Realistic,Beliefs_Convictions,0.5653926881874293,0.05538898235546786,0.5706559195664803,0.052662438678422366,0.5653926881874293,0.05538898235546786,Pearson,Large,,12
Realistic,Shame_Guilt,-0.059774758667561906,0.8535966030408866,0.025226248955475646,0.9379724219301558,-0.059774758667561906,0.8535966030408866,Pearson,Negligible,,12
Realistic,Sociability,-0.013576884666042668,0.9665963458553524,-0.10333228991092906,0.749291403065762,-0.013576884666042668,0.9665963458553524,Pearson,Negligible,,12
Realistic,Emotional,0.08494966891358026,0.7929426747386354,0.08303465536466195,0.7975238114294239,0.08494966891358026,0.7929426747386354,Pearson,Negligible,,12
Realistic,Total_Self_Concept,0.2629909921839992,0.40888564035186353,0.28525983292826773,0.36879403060518046,0.2629909921839992,0.40888564035186353,Pearson,Small,,12
Investigative,Health_Sex_Appropriateness,-0.00838797489536559,0.9793596543779325,0.2825525179051721,0.37355452102328046,0.2825525179051721,0.37355452102328046,Spearman,Small,,12
Investigative,Abilities,0.6214036762132819,0.031014889138225112,0.6260600880240603,0.02941822557753597,0.6260600880240603,0.02941822557753597,Spearman,Large,*,12
Investigative,Self_Confidence,0.22846908076947478,0.4750898512419562,0.5272972331724647,0.07811727595541194,0.5272972331724647,0.07811727595541194,Spearman,Large,,12
Investigative,Self_Acceptance,0.11594564810688666,0.719718015229053,0.1636068161129024,0.6114016318742856,0.1636068161129024,0.6114016318742856,Spearman,Small,,12
Investigative,Worthiness,0.6594888849950599,0.01964156537223192,0.7671793777467286,0.0035889147820973837,0.7671793777467286,0.0035889147820973837,Spearman,Large,**,12
Investigative,Present_Past_Future,0.5991623721579599,0.03950980461360718,0.661831912870171,0.019060072118885836,0.661831912870171,0.019060072118885836,Spearman,Large,*,12
Investigative,Beliefs_Convictions,0.03290879897196775,0.9191303319251117,-0.09675905158920628,0.7648295339190474,-0.09675905158920628,0.7648295339190474,Spearman,Negligible,,12
Investigative,Shame_Guilt,0.22830765152581609,0.4754104934128389,0.46387344333187625,0.12875596652982071,0.46387344333187625,0.12875596652982071,Spearman,Medium,,12
Investigative,Sociability,-0.10025579909743429,0.7565534710900208,0.2207617738579964,0.4905091490608524,0.2207617738579964,0.4905091490608524,Spearman,Small,,12
Investigative,Emotional,0.4569008147764852,0.1353736163569626,0.49748396538025946,0.0998269062875973,0.49748396538025946,0.0998269062875973,Spearman,Medium,,12
Investigative,Total_Self_Concept,0.5495975991799017,0.06416082841720605,0.7579866183171461,0.004282989962974282,0.7579866183171461,0.004282989962974282,Spearman,Large,**,12
Artistic,Health_Sex_Appropriateness,0.1264016036251837,0.6954656832500903,0.19673668052751997,0.5399747869828855,0.19673668052751997,0.5399747869828855,Spearman,Small,,12
Artistic,Abilities,0.0905203080362457,0.7796510595202877,0.13572207610805326,0.6740649851642941,0.0905203080362457,0.7796510595202877,Pearson,Negligible,,12
Artistic,Self_Confidence,0.315598067502444,0.3176605391399021,0.32668360804849517,0.3000096530173148,0.315598067502444,0.3176605391399021,Pearson,Medium,,12
